"(x, y)",Year,Month,Town,Block,Floor_Area,Flat_Model,Lease_Commence_Date,Price_Per_Square_Meter
"(1, 80)",2015,08,CHOA CHU KANG,505,108.0,Model A,1994,2963
"(1, 81)",2015,08,CHOA CHU KANG,505,108.0,Model A,1994,2963
"(1, 82)",2015,08,CHOA CHU KANG,505,108.0,Model A,1994,2963
"(1, 83)",2015,08,CHOA CHU KANG,505,108.0,Model A,1994,2963
"(1, 84)",2015,08,CHOA CHU KANG,505,108.0,Model A,1994,2963
"(1, 85)",2015,08,CHOA CHU KANG,505,108.0,Model A,1994,2963
"(1, 86)",2015,08,CHOA CHU KANG,505,108.0,Model A,1994,2963
"(1, 87)",2015,08,CHOA CHU KANG,505,108.0,Model A,1994,2963
"(1, 88)",2015,08,CHOA CHU KANG,505,108.0,Model A,1994,2963
"(1, 89)",2015,08,CHOA CHU KANG,505,108.0,Model A,1994,2963
"(1, 90)",2015,08,CHOA CHU KANG,505,108.0,Model A,1994,2963
"(1, 91)",2015,08,CHOA CHU KANG,505,108.0,Model A,1994,2963
"(1, 92)",2015,08,CHOA CHU KANG,505,108.0,Model A,1994,2963
"(1, 93)",2015,08,CHOA CHU KANG,505,108.0,Model A,1994,2963
"(1, 94)",2015,08,CHOA CHU KANG,505,108.0,Model A,1994,2963
"(1, 95)",2015,08,CHOA CHU KANG,505,108.0,Model A,1994,2963
"(1, 96)",2015,08,CHOA CHU KANG,505,108.0,Model A,1994,2963
"(1, 97)",2015,08,CHOA CHU KANG,505,108.0,Model A,1994,2963
"(1, 98)",2015,08,CHOA CHU KANG,505,108.0,Model A,1994,2963
"(1, 99)",2015,08,CHOA CHU KANG,505,108.0,Model A,1994,2963
"(1, 100)",2015,08,CHOA CHU KANG,505,108.0,Model A,1994,2963
"(1, 101)",2015,08,CHOA CHU KANG,505,108.0,Model A,1994,2963
"(1, 102)",2015,08,CHOA CHU KANG,505,108.0,Model A,1994,2963
"(1, 103)",2015,08,CHOA CHU KANG,505,108.0,Model A,1994,2963
"(1, 104)",2015,08,CHOA CHU KANG,505,108.0,Model A,1994,2963
"(1, 105)",2015,08,CHOA CHU KANG,505,108.0,Model A,1994,2963
"(1, 106)",2015,08,CHOA CHU KANG,505,108.0,Model A,1994,2963
"(1, 107)",2015,08,CHOA CHU KANG,505,108.0,Model A,1994,2963
"(1, 108)",2015,08,CHOA CHU KANG,505,108.0,Model A,1994,2963
"(1, 109)",2015,08,JURONG WEST,933,122.0,Improved,1988,2967
"(1, 110)",2015,08,JURONG WEST,933,122.0,Improved,1988,2967
"(1, 111)",2015,08,JURONG WEST,933,122.0,Improved,1988,2967
"(1, 112)",2015,08,JURONG WEST,933,122.0,Improved,1988,2967
"(1, 113)",2015,08,JURONG WEST,933,122.0,Improved,1988,2967
"(1, 114)",2015,08,JURONG WEST,933,122.0,Improved,1988,2967
"(1, 115)",2015,08,JURONG WEST,933,122.0,Improved,1988,2967
"(1, 116)",2015,08,JURONG WEST,933,122.0,Improved,1988,2967
"(1, 117)",2015,08,JURONG WEST,933,122.0,Improved,1988,2967
"(1, 118)",2015,08,JURONG WEST,933,122.0,Improved,1988,2967
"(1, 119)",2015,08,JURONG WEST,933,122.0,Improved,1988,2967
"(1, 120)",2015,08,JURONG WEST,933,122.0,Improved,1988,2967
"(1, 121)",2015,08,JURONG WEST,933,122.0,Improved,1988,2967
"(1, 122)",2015,08,JURONG WEST,933,122.0,Improved,1988,2967
"(1, 123)",2015,08,CHOA CHU KANG,617,134.0,Model A,1996,3007
"(1, 124)",2015,08,CHOA CHU KANG,617,134.0,Model A,1996,3007
"(1, 125)",2015,08,CHOA CHU KANG,617,134.0,Model A,1996,3007
"(1, 126)",2015,08,CHOA CHU KANG,617,134.0,Model A,1996,3007
"(1, 127)",2015,08,CHOA CHU KANG,617,134.0,Model A,1996,3007
"(1, 128)",2015,08,CHOA CHU KANG,617,134.0,Model A,1996,3007
"(1, 129)",2015,08,CHOA CHU KANG,617,134.0,Model A,1996,3007
"(1, 130)",2015,08,CHOA CHU KANG,617,134.0,Model A,1996,3007
"(1, 131)",2015,08,CHOA CHU KANG,617,134.0,Model A,1996,3007
"(1, 132)",2015,08,CHOA CHU KANG,617,134.0,Model A,1996,3007
"(1, 133)",2015,08,CHOA CHU KANG,617,134.0,Model A,1996,3007
"(1, 134)",2015,08,CHOA CHU KANG,617,134.0,Model A,1996,3007
"(1, 135)",2015,08,YISHUN,314,136.0,Model A,1995,3162
"(1, 136)",2015,08,YISHUN,314,136.0,Model A,1995,3162
"(1, 137)",2015,08,WOODLANDS,175,137.0,Model A,1993,3321
"(1, 138)",2015,08,JURONG WEST,834,138.0,Model A,1993,3333
"(1, 139)",2015,08,JURONG WEST,910,145.0,Maisonette,1988,3448
"(1, 140)",2015,08,JURONG WEST,910,145.0,Maisonette,1988,3448
"(1, 141)",2015,08,JURONG WEST,910,145.0,Maisonette,1988,3448
"(1, 142)",2015,08,JURONG WEST,910,145.0,Maisonette,1988,3448
"(1, 143)",2015,08,JURONG WEST,910,145.0,Maisonette,1988,3448
"(1, 144)",2015,08,JURONG WEST,910,145.0,Maisonette,1988,3448
"(1, 145)",2015,08,JURONG WEST,910,145.0,Maisonette,1988,3448
